Name,Location,Latitude,Longitude
Alcatraz Island Light,San Francisco (Alcatraz Island),37.82625,-122.422167
Anacapa Island Light,Anacapa Island,34.015827,-119.359548
Ano Nuevo Light,Año Nuevo Island,37.1083,-122.3378
Ballast Point Light,San Diego (Point Loma),32.686389,-117.2325
Battery Point Light,Crescent City,41.744094,-124.203099
Cape Mendocino Light,Shelter Cove,40.4399056,-124.4060306
Carquinez Strait Light,Vallejo,38.067816,-122.213832
East Brother Island Light,Richmond,37.963233,-122.433643
Farallon Island Light,San Francisco (Farallon Islands),37.698966,-123.001651
Fort Point Light,San Francisco,37.81056,-122.477333
Humboldt Harbor Light,Eureka (Humboldt Bay),40.768639,-124.221028
Lime Point Light,San Francisco,37.825447,-122.478321
Lions Lighthouse for Sight,Long Beach,33.7602334,-118.1941101
Long Beach Light,Long Beach (Port of Long Beach),33.723237,-118.186821
Los Angeles Harbor Light,Los Angeles (Port of Los Angeles),33.70857,-118.2516
Mare Island Light,Vallejo (Mare Island),38.074834,-122.250464
Mile Rocks Light,San Francisco,37.792765,-122.510366
Oakland Harbor Light,Oakland,37.781335,-122.243817
Parkers' Lighthouse,Long Beach,33.7598744,-118.1920629
Piedras Blancas Light,San Simeon,35.665639,-121.284333
Pigeon Point Light,Half Moon Bay,37.18175,-122.393917
Point Arena Light,Point Arena,38.95475,-123.7405
Point Arguello Light,Lompoc (Point Arguello),34.577056,-120.647194
Point Blunt Light,San Francisco (Angel Island),37.8532333,-122.4192361
Point Bonita Light,San Francisco (Point Bonita),37.815614,-122.529578
Point Cabrillo Light,Caspar,39.3486028,-123.8261167
Point Conception Light,Lompoc (Point Conception),34.4487528,-120.4707528
Point Diablo Light,San Francisco (Golden Gate),37.820171,-122.499423
Point Fermin Light,Los Angeles (San Pedro),33.70542,-118.293649
Point Hueneme Light,Port Hueneme,34.145176,-119.210019
Point Loma Light (old),San Diego (Point Loma),32.671983,-117.240938
Point Loma Light (new),San Diego (Point Loma),32.665071,-117.242621
Point Montara Light,Montara,37.536503,-122.519311
Point Pinos Light,Pacific Grove,36.633389,-121.933783
Point Reyes Light,Point Reyes Station (Point Reyes),37.995621,-123.023215
Point San Luis Light,Avila Beach,35.160362,-120.760882
Point Sur Light,Carmel-by-the-Sea,36.3063306,-121.9014889
Point Vicente Light,Rancho Palos Verdes,33.741867,-118.410738
Punta Gorda Light,Petrolia,40.249433,-124.35022
Roe Island Light,Roe Island,38.067856,-122.028166
Rubicon Point Light,South Lake Tahoe,38.99583,-120.09472
Santa Barbara Light,Santa Barbara,34.39632,-119.722625
Santa Cruz Light,Santa Cruz,36.9514833,-122.0267667
Santa Cruz Breakwater Light,Santa Cruz (Santa Cruz harbor),36.960694,-122.002222
Southampton Shoal Light,San Francisco Bay,37.88193917,-122.4002325
St. George Reef Light,Crescent City,41.83633,-124.37587
Sugar Pine Point Light,Tahoma,39.061266,-120.113971
Table Bluff Light,Table Bluff,40.6958389,-124.2739333
Trinidad Head Light,Trinidad,41.051944,-124.151444
Yerba Buena Light,San Francisco Yerba Buena Island,37.8072972,-122.3623028
