Latitude,Longitude,Temperature_F,Humidity,Wind_Speed,Description
37.82625,-122.422167,68.67,63,10.0,Overcast clouds
34.015827,-119.359548,73.51,70,7.63,Clear sky
37.1083,-122.3378,71.58,54,6.29,Overcast clouds
32.686389,-117.2325,79.74,68,5.01,Clear sky
41.744094,-124.203099,61.45,88,11.5,Moderate rain
40.4399056,-124.4060306,61.79,81,13.71,Overcast clouds
38.067816,-122.213832,70.9,58,11.01,Overcast clouds
37.963233,-122.433643,69.46,67,10.0,Overcast clouds
37.698966,-123.001651,66.94,72,8.68,Broken clouds
37.81056,-122.477333,68.52,62,10.0,Overcast clouds
40.768639,-124.221028,64.11,85,1.99,Overcast clouds
37.825447,-122.478321,68.52,62,10.0,Overcast clouds
33.7602334,-118.1941101,77.16,69,11.99,Clear sky
33.723237,-118.186821,78.08,65,11.99,Clear sky
33.70857,-118.2516,76.1,71,10.45,Clear sky
38.074834,-122.250464,70.43,59,11.01,Overcast clouds
37.792765,-122.510366,67.95,64,10.0,Overcast clouds
37.781335,-122.243817,69.35,60,14.0,Overcast clouds
33.7598744,-118.1920629,77.16,69,11.99,Clear sky
35.665639,-121.284333,66.34,71,9.69,Clear sky
37.18175,-122.393917,71.78,67,6.73,Overcast clouds
38.95475,-123.7405,66.36,75,8.21,Overcast clouds
34.577056,-120.647194,69.1,77,15.79,Clear sky
37.8532333,-122.4192361,68.61,64,11.01,Overcast clouds
37.815614,-122.529578,67.86,64,10.0,Overcast clouds
39.3486028,-123.8261167,65.3,84,1.01,Overcast clouds
34.4487528,-120.4707528,69.08,77,19.91,Clear sky
37.820171,-122.499423,67.89,65,10.0,Overcast clouds
33.70542,-118.293649,75.79,71,4.0,Clear sky
34.145176,-119.210019,75.16,62,12.66,Scattered clouds
32.671983,-117.240938,78.35,68,14.63,Clear sky
32.665071,-117.242621,78.35,68,14.63,Clear sky
37.536503,-122.519311,68.61,65,14.97,Overcast clouds
36.633389,-121.933783,69.85,57,4.0,Broken clouds
37.995621,-123.023215,68.36,69,7.45,Overcast clouds
35.160362,-120.760882,70.5,63,20.71,Clear sky
36.3063306,-121.9014889,70.88,67,7.74,Few clouds
33.741867,-118.410738,75.25,71,7.0,Clear sky
40.249433,-124.35022,62.73,78,10.42,Overcast clouds
38.067856,-122.028166,72.21,51,3.0,Overcast clouds
38.99583,-120.09472,64.6,35,10.36,Overcast clouds
34.39632,-119.722625,76.01,60,8.05,Clear sky
36.9514833,-122.0267667,69.73,66,5.99,Overcast clouds
36.960694,-122.002222,69.98,64,11.5,Overcast clouds
37.88193917,-122.4002325,68.88,64,11.01,Overcast clouds
41.83633,-124.37587,61.34,88,11.5,Moderate rain
39.061266,-120.113971,65.1,36,20.4,Overcast clouds
40.6958389,-124.2739333,64.42,81,5.75,Overcast clouds
41.051944,-124.151444,61.02,90,4.61,Light rain
37.8072972,-122.3623028,68.58,63,11.99,Overcast clouds
